ID,Age,Gender,Income,City,Score
1,26,Female,84268,Kisumu,61
2,39,Female,48141,Eldoret,91
3,48,Female,86044,Nairobi,82
4,34,Female,97214,Eldoret,81
5,30,Male,63827,Kisumu,84
6,27,Female,85820,Nairobi,81
7,48,Male,92623,Eldoret,81
8,40,Female,52299,Eldoret,65
9,26,Female,73585,Kisumu,74
10,45,Male,94044,Nairobi,96
11,38,Female,72557,Kisumu,92
12,42,Male,79080,Nairobi,67
13,30,Female,32693,Nakuru,64
14,30,Female,99163,Mombasa,98
15,43,Male,55939,Mombasa,63
16,40,Female,78925,Mombasa,65
17,23,Male,72941,Kisumu,91
18,27,Female,51834,Nakuru,89
19,43,Male,48047,Nairobi,94
20,22,Male,56105,Eldoret,99
21,41,Female,45707,Nairobi,75
22,40,Female,51976,Eldoret,72
23,21,Male,74262,Nairobi,89
24,43,Female,53776,Nakuru,78
25,31,Female,60080,Eldoret,76
26,49,Female,96842,Kisumu,78
27,25,Male,91373,Nairobi,87
28,21,Male,36776,Nairobi,85
29,47,Male,85016,Eldoret,96
30,40,Male,39474,Kisumu,85
31,20,Male,88053,Kisumu,82
32,31,Male,51959,Nakuru,68
33,45,Male,35530,Kisumu,71
34,41,Male,33748,Kisumu,60
35,48,Male,43545,Kisumu,60
36,31,Female,96199,Mombasa,93
37,44,Male,64766,Nakuru,91
38,36,Female,91087,Nairobi,84
39,46,Female,98840,Eldoret,99
40,46,Female,84384,Nairobi,60
41,29,Male,81005,Nakuru,75
42,47,Male,76576,Eldoret,98
43,47,Male,69353,Nakuru,64
44,35,Male,92003,Kisumu,81
45,34,Female,82733,Eldoret,88
46,49,Male,95318,Kisumu,62
47,49,Male,53664,Nairobi,71
48,34,Male,97172,Nairobi,85
49,49,Male,56736,Eldoret,75
50,38,Male,30854,Eldoret,96
51,31,Female,68623,Nakuru,81
52,42,Male,37392,Nakuru,88
53,39,Female,85680,Kisumu,73
54,44,Male,76717,Eldoret,87
55,22,Female,80859,Nairobi,64
56,24,Male,56309,Nakuru,89
57,38,Male,93734,Nakuru,64
58,26,Female,82662,Nairobi,71
59,40,Female,42688,Nakuru,75
60,28,Female,55342,Kisumu,85
61,26,Male,67157,Eldoret,85
62,37,Female,97863,Nairobi,80
63,23,Male,82083,Eldoret,98
64,44,Male,95733,Nakuru,95
65,47,Female,64698,Nakuru,92
66,33,Female,52671,Nairobi,89
67,37,Male,55184,Kisumu,96
68,45,Male,72107,Mombasa,82
69,28,Female,81663,Nairobi,69
70,45,Female,45708,Mombasa,64
71,40,Female,79811,Mombasa,95
72,21,Male,32811,Kisumu,93
73,39,Male,86250,Mombasa,90
74,47,Male,64754,Mombasa,69
75,34,Male,41411,Kisumu,78
76,47,Male,32911,Mombasa,91
77,26,Male,97270,Mombasa,60
78,31,Female,38680,Mombasa,64
79,48,Male,41111,Nairobi,63
80,27,Male,67504,Nairobi,75
81,34,Male,31802,Nairobi,83
82,22,Female,38155,Kisumu,75
83,33,Male,69384,Nakuru,61
84,36,Male,77254,Mombasa,87
85,23,Female,51918,Mombasa,91
86,37,Male,90713,Kisumu,86
87,27,Male,60306,Mombasa,79
88,23,Male,46646,Nairobi,83
89,21,Male,76843,Nakuru,71
90,49,Male,46371,Eldoret,94
91,25,Female,32049,Mombasa,92
92,41,Female,61616,Nairobi,92
93,29,Female,50932,Eldoret,96
94,23,Male,59855,Nakuru,71
95,41,Male,91434,Eldoret,62
96,48,Male,73016,Nairobi,60
97,37,Female,37400,Eldoret,92
98,45,Male,72642,Kisumu,99
99,31,Male,45151,Eldoret,69
100,21,Female,81407,Mombasa,88
